Seat,Candidate,Raised,In_Distr_Perc,In_Distr_Raised_000,Vote_Share,Winner,Incumbent,In_Distr_Prop_Versus_Opponent
CA28,Adam Schiff ,"$19,382,855",3.56,690.03,72.7,Y,Y,71.57
CA28,Eric Early ,"$4,085,322",6.71,274.13,27.3,N,N,28.43
CA29,Tony Cardenas ,"$1,419,697",1.49,21.15,56.6,Y,Y,61.55
CA29,Angelica Duenas ,"$78,083",16.92,13.21,43.4,N,N,38.45
CA31,Pete Aguilar ,"$2,475,748",5.16,127.75,61.3,Y,Y,87.12
CA31,Agnes Gibboney ,"$138,687",13.61,18.88,38.7,N,N,12.88
CA32,Grace Napolitano ,"$478,426",2.52,12.06,66.6,Y,Y,65.9
CA32,Joshua Scott ,"$23,624",26.42,6.24,33.4,N,N,34.1
CA33,Ted Lieu ,"$1,661,436",42.11,699.63,67.6,Y,Y,93.68
CA33,James Bradley ,"$78,910",59.77,47.16,32.4,N,N,6.32
CA34,Jimmy Gomez ,"$1,401,166",12.26,171.78,53,Y,Y,93.14
CA34,David Kim ,"$193,430",6.54,12.65,47,N,N,6.86
CA35,Norma Torres ,"$654,727",5.55,36.34,69.3,Y,Y,70.11
CA35,Mike Cargile ,"$36,113",42.89,15.49,30.7,N,N,29.89
CA36,Raul Ruiz ,"$2,402,624",34.35,825.3,60.3,Y,Y,100
CA36,Erin Cruz ,"$54,217",0,0,39.7,N,N,0
CA37,Karen Bass ,"$2,216,467",10.29,228.07,85.9,Y,Y,99.25
CA37,Errol Webber ,"$66,398",2.6,1.73,14.1,N,N,0.75
CA39,Young Kim ,"$6,424,556",10.35,664.94,50.6,Y,N,66.84
CA39,Gil Cisneros ,"$4,370,133",7.55,329.95,49.4,N,Y,33.16
CA40,Lucille Roybal-Allard ,"$739,790",5.19,38.4,72.7,Y,Y,97.19
CA40,Antonio Delgado ,"$85,014",1.31,1.11,27.3,N,N,2.81
CA41,Mark Takano ,"$1,020,456",18.61,189.91,64,Y,Y,73.98
CA41,Aja Smith ,"$660,658",10.11,66.79,36,N,N,26.02
CA42,Ken Calvert ,"$1,441,812",9.66,139.28,57.1,Y,Y,83.81
CA42,Liam O'Mara ,"$130,065",20.68,26.9,42.9,N,N,16.19
CA43,Maxine Waters ,"$1,836,660",1.58,29.02,71.7,Y,Y,23.8
CA43,Joe Collins ,"$10,556,626",0.88,92.9,28.3,N,N,76.2
CA45,Katie Porter ,"$16,627,706",5.47,909.54,53.5,Y,Y,81.74
CA45,Greg Raths ,"$1,245,767",16.31,203.18,46.5,N,N,18.26
CA47,Alan Lowenthal ,"$678,648",47.41,321.75,63.3,Y,Y,93.85
CA47,John Briscoe ,"$25,302",83.33,21.08,36.7,N,N,6.15
CA48,Michelle Steel ,"$6,305,665",23.16,1460.39,51.1,Y,N,42.82
CA48,Harley Rouda ,"$5,968,858",32.67,1950.03,48.9,N,Y,57.18
CA49,Mike Levin ,"$3,845,768",31.39,1207.19,53.1,Y,Y,57.3
CA49,Brian Maryott ,"$2,810,253",32.01,899.56,46.9,N,N,42.7
CA50,Darrell Issa ,"$11,239,670",4.58,514.78,54,Y,N,49.37
CA50,Ammar Campa-Najjar ,"$6,248,210",8.45,527.97,46,N,N,50.63
CA51,Juan Vargas ,"$799,734",0.01,0.08,68.3,Y,Y,0.24
CA51,Juan Hidalgo ,"$83,730",40.53,33.94,31.7,N,N,99.76
CO02,Joseph Neguse ,"$1,353,325",52.74,713.74,61.5,Y,Y,92.33
CO02,Charles Winn ,"$98,338",60.33,59.33,35.4,N,N,7.67
CO03,Lauren Boebert ,"$2,989,510",33.59,1004.18,51.4,Y,N,34.44
CO03,Diane Mitsch Bush ,"$5,008,274",38.16,1911.16,45.2,N,N,65.56
CO06,Jason Crow ,"$4,136,137",8.52,352.4,57.1,Y,Y,73.17
CO06,Steven House ,"$1,200,056",10.77,129.25,40,N,N,26.83
CO07,Ed Perlmutter ,"$1,632,262",18.79,306.7,59.1,Y,Y,78.02
CO07,Casper Stockham ,"$147,872",58.44,86.42,37.6,N,N,21.98
CT02,Joe Courtney ,"$964,731",55.43,534.75,59.4,Y,Y,91.75
CT02,Justin Anderson ,"$80,227",59.97,48.11,38.2,N,N,8.25
CT04,Jim Himes ,"$1,612,935",69.54,1121.63,62.2,Y,Y,98.7
CT04,Jonathan Riddle ,"$31,591",46.92,14.82,36.3,N,N,1.3
CT05,Jahana Hayes ,"$2,037,826",30.5,621.54,55.1,Y,Y,76.09
CT05,David Sullivan ,"$397,395",49.16,195.36,43.5,N,N,23.91
FL01,Matt Gaetz ,"$5,946,646",10.37,616.67,64.6,Y,Y,62.93
FL01,Phil Ehr ,"$2,025,099",17.94,363.3,34,N,N,37.07
FL03,Kat Cammack ,"$1,122,188",57.85,649.19,57.1,Y,N,91.24
FL03,Adam Christensen ,"$216,021",28.85,62.32,42.9,N,N,8.76
FL04,John Rutherford ,"$1,024,912",48.6,498.11,61.1,Y,Y,44.15
FL04,Donna Deegan ,"$1,013,157",62.2,630.18,38.9,N,N,55.85
FL05,Al Lawson ,"$848,498",5.51,46.75,65.1,Y,Y,100
FL05,Gary Adler ,"$146,909",0,0,34.9,N,N,0
FL06,Michael Waltz ,"$2,549,667",29.85,761.08,60.6,Y,Y,98.72
FL06,Clint Curtis ,"$24,310",40.64,9.88,39.4,N,N,1.28
FL07,Stephanie Murphy ,"$3,124,692",23.25,726.49,55.3,Y,Y,89.98
FL07,Leo Valentin ,"$1,045,426",7.74,80.92,43.2,N,N,10.02
FL08,Bill Posey ,"$985,268",83.32,820.93,61.4,Y,Y,87.63
FL08,James Kennedy ,"$138,568",83.64,115.9,38.6,N,N,12.37
FL10,Val Demings ,"$1,876,047",16.58,311.05,63.6,Y,Y,55.13
FL10,Vennia Francois ,"$335,480",75.45,253.12,36.4,N,N,44.87
FL11,Daniel Webster ,"$691,261",12.91,89.24,66.7,Y,Y,66.85
FL11,Dana Cottrell ,"$62,658",70.62,44.25,33.3,N,N,33.15
FL13,Charlie Crist ,"$2,720,646",15.5,421.7,53,Y,Y,37.57
