Name,Race,In-District,Out-of-District
Pierce Bush (R),Texas District 22,9.46%,90.54%
Pete Olson (R),Texas District 22,30.78%,69.22%
Nyanza Moore (D),Texas District 22,23.13%,76.87%
Letitia Plummer (D),Texas District 22,0.00%,100.00%
Keli Chevalier (R),Texas District 22,94.92%,5.08%
Kathaleen Wall (R),Texas District 22,42.28%,57.72%
Jon Camarillo (R),Texas District 22,0.00%,100.00%
Joe Walz (R),Texas District 22,50.00%,50.00%
Howard Steele (R),Texas District 22,27.78%,72.22%
Greg Hill (R),Texas District 22,66.59%,33.41%
Felicia Harris (R),Texas District 22,29.07%,70.93%
Douglas Haggard (R),Texas District 22,0.00%,100.00%
Diana Miller (R),Texas District 22,66.67%,33.33%
Derrick Reed (D),Texas District 22,36.48%,63.52%
Daniel Mathews (R),Texas District 22,100.00%,0.00%
Clint Morgan (R),Texas District 22,0.00%,100.00%
Bangar Reddy Aaloori (R),Texas District 22,84.97%,15.03%
Aaron Hermes (R),Texas District 22,0.00%,100.00%
Will Hurd (R),Texas District 23,2.68%,97.32%
Tony Gonzales (R),Texas District 23,20.32%,79.68%
Sharon Breckenridge Thomas (R),Texas District 23,14.67%,85.33%
Rosey Abuabara (D),Texas District 23,3.56%,96.44%
Robert Hildt (3),Texas District 23,100.00%,0.00%
Rick Madrid (D),Texas District 23,0.00%,100.00%
Raul Reyes Jr (R),Texas District 23,82.70%,17.30%
Liz Wahl (D),Texas District 23,9.86%,90.14%
Jeff McFarlin (R),Texas District 23,2.12%,97.88%
Jaime Escuder (D),Texas District 23,39.26%,60.74%
Gina Ortiz Jones (D),Texas District 23,1.56%,98.44%
Darwin Boedeker (R),Texas District 23,18.18%,81.82%
Cecil Burton Jones (R),Texas District 23,0.00%,0.00%
Ben Van Winkle (R),Texas District 23,100.00%,0.00%
Alma Arredondo-Lynch (R),Texas District 23,51.06%,48.94%
Will Fisher (D),Texas District 24,24.53%,75.47%
Sunny Chaparala (R),Texas District 24,100.00%,0.00%
Stephen Kuzmich (I),Texas District 24,1.66%,98.34%
Sam Vega (D),Texas District 24,8.33%,91.67%
Richard Fleming (D),Texas District 24,70.74%,29.26%
Mark Bauer (I),Texas District 24,0.00%,100.00%
Kim Olson (D),Texas District 24,6.39%,93.61%
Kenny Marchant (R),Texas District 24,11.99%,88.01%
John Biggan (D),Texas District 24,26.74%,73.26%
Jeron Liverman (R),Texas District 24,70.07%,29.93%
Jan McDowell (D),Texas District 24,63.68%,36.32%
Desi Maes (R),Texas District 24,56.57%,43.43%
Deanna Metzger (R),Texas District 24,0.00%,100.00%
David Fegan (R),Texas District 24,9.19%,90.81%
Darren Hamilton (L),Texas District 24,100.00%,0.00%
Crystal Fletcher (D),Texas District 24,6.34%,93.66%
Candace Valenzuela (D),Texas District 24,5.08%,94.92%
Beth Van Duyne (R),Texas District 24,23.61%,76.39%
Roger Williams (R),Texas District 25,7.32%,92.68%
Keith Neuendorff (R),Texas District 25,0.00%,0.00%
Julie Oliver (D),Texas District 25,33.79%,66.21%
Heidi Sloan (D),Texas District 25,10.31%,89.69%
Alex Johnson (D),Texas District 25,0.00%,100.00%
Neil Durrance (D),Texas District 26,14.45%,85.55%
Michael Burgess (R),Texas District 26,22.89%,77.11%
Mat Pruneda (D),Texas District 26,95.95%,4.05%
Jason Mrochek (R),Texas District 26,44.85%,55.15%
Jack Wyman (R),Texas District 26,59.59%,40.41%
Carol Iannuzzi (D),Texas District 26,73.48%,26.52%
Ricardo De La Fuente (D),Texas District 27,0.31%,99.69%
Michael Cloud (R),Texas District 27,74.54%,25.46%
Charlie Jackson (D),Texas District 27,60.11%,39.89%
Sandra Whitten (R),Texas District 28,44.21%,55.79%
Jessica Cisneros (D),Texas District 28,1.48%,98.52%
Henry Cuellar (D),Texas District 28,31.78%,68.22%
Sylvia Garcia (D),Texas District 29,3.34%,96.66%
Jaimy Blanco (R),Texas District 29,6.68%,93.32%
Shenita 'Shae' Cleveland (D),Texas District 30,28.60%,71.40%
Jessica Mason (D),Texas District 30,5.34%,94.66%
Hasani Burton (D),Texas District 30,0.00%,100.00%
Eddie Bernice Johnson (D),Texas District 30,10.58%,89.42%
Demetrick Pennie (R),Texas District 30,6.96%,93.04%
Barbara Mallory Caraway (D),Texas District 30,22.26%,77.74%
Tammy Young (D),Texas District 31,16.44%,83.56%
Roderick Kutch (D),Texas District 31,100.00%,0.00%
Omar Kadir (D),Texas District 31,76.34%,23.66%
Murray Holcomb (D),Texas District 31,23.83%,76.17%
Mike Clark (D),Texas District 31,28.53%,71.47%
Michael Grimes (D),Texas District 31,0.00%,100.00%
Jon Curtis (D),Texas District 31,54.41%,45.59%
John Carter (R),Texas District 31,41.79%,58.21%
Jeremy Bravo (D),Texas District 31,3.55%,96.45%
Jeremiah Landin (D),Texas District 31,100.00%,0.00%
Eric Hanke (D),Texas District 31,29.52%,70.48%
Donna Imam (D),Texas District 31,14.01%,85.99%
Dan Janjigian (D),Texas District 31,4.72%,95.28%
Christine Mann (D),Texas District 31,44.04%,55.96%
Chris Wall (R),Texas District 31,0.00%,0.00%
Tania Burgess (R),Texas District 32,0.00%,100.00%
Jonathon Hollis (R),Texas District 32,0.00%,100.00%
Jeff Tokar (R),Texas District 32,100.00%,0.00%
Genevieve Collins (R),Texas District 32,48.11%,51.89%
Floyd McLendon (R),Texas District 32,20.02%,79.98%
Colin Allred (D),Texas District 32,34.55%,65.45%
Viktor Valencia Avalos (D),Texas District 33,0.00%,100.00%
Sean Paul Segura (D),Texas District 33,0.00%,100.00%
Rich Helms (R),Texas District 33,0.00%,100.00%
Marc Veasey (D),Texas District 33,0.31%,99.69%
Fabian Cordova Vasquez (R),Texas District 33,3.90%,96.10%
Carlos Quintanilla (D),Texas District 33,0.08%,99.92%
Rey Gonzalez (R),Texas District 34,53.38%,46.62%
Filemon Vela (D),Texas District 34,27.18%,72.82%
Diego Zavala (D),Texas District 34,28.59%,71.41%
Rafael Alcoser (D),Texas District 35,23.26%,76.74%
Nick Moutos (R),Texas District 35,0.00%,100.00%
Lloyd Doggett (D),Texas District 35,12.68%,87.32%
Jennifer Sharon (R),Texas District 35,5.35%,94.65%
Andrew Daly (D),Texas District 35,0.00%,100.00%
R J Boatman (R),Texas District 36,39.81%,60.19%
Brian Babin (R),Texas District 36,41.14%,58.86%
Brandon Rashad Lewis (D),Texas District 36,42.96%,57.04%
Tina Cannon (R),Utah District 01,73.52%,26.48%
Mark Shepherd (R),Utah District 01,65.62%,34.38%
Kerry Gibson (R),Utah District 01,56.28%,43.72%
Katie Witt (R),Utah District 01,9.68%,90.32%
Jamie Cheek (D),Utah District 01,31.26%,68.74%
Darren Parry (D),Utah District 01,67.04%,32.96%
Bob Stevenson (R),Utah District 01,82.30%,17.70%
Blake Moore (R),Utah District 01,17.68%,82.32%
Randy Hopkins (D),Utah District 02,84.46%,15.54%
Mary Burkett (R),Utah District 02,69.81%,30.19%
John Kael Weston (D),Utah District 02,62.67%,37.33%
Joe Jarvis (3),Utah District 02,88.46%,11.54%
Howard Wallack (R),Utah District 02,10.35%,89.65%
Chris Stewart (R),Utah District 02,35.92%,64.08%
Carson Jorgensen (R),Utah District 02,0.00%,100.00%
Ashley Jolin (D),Utah District 02,75.06%,24.94%
Trey Robinson (D),Utah District 03,0.00%,100.00%
Tim Aalders (R),Utah District 03,0.00%,0.00%
John Curtis (R),Utah District 03,59.56%,40.44%
Jared Anderson (D),Utah District 03,0.00%,100.00%
Devin Thorpe (D),Utah District 03,17.16%,82.84%
Trent Christensen (R),Utah District 04,63.20%,36.80%
Kim Coleman (R),Utah District 04,2.28%,97.72%
Kathleen Anderson (R),Utah District 04,4.57%,95.43%
Jonia Broderick (3),Utah District 04,0.00%,0.00%
Jay Mcfarland (R),Utah District 04,3.69%,96.31%
Daniel Beckstrand (D),Utah District 04,36.65%,63.35%
Dan Hemmert (R),Utah District 04,2.87%,97.13%
Chris Biesinger (R),Utah District 04,0.00%,100.00%
Burgess Owens (R),Utah District 04,5.10%,94.90%
Ben McAdams (D),Utah District 04,8.34%,91.66%
Vangie Williams (D),Virginia District 01,52.41%,47.59%
Thomas Phillip Cox (D),Virginia District 01,4.76%,95.24%
Rob Wittman (R),Virginia District 01,40.01%,59.99%
Qasim Rashid (D),Virginia District 01,16.98%,83.02%
Scott Taylor (R),Virginia District 02,22.44%,77.56%
Pat Cardwell (R),Virginia District 02,0.00%,100.00%
Jarome Bell (R),Virginia District 02,6.75%,93.25%
Elaine Luria (D),Virginia District 02,16.44%,83.56%
Ben Loyola (R),Virginia District 02,76.67%,23.33%
Andy Baan (R),Virginia District 02,7.04%,92.96%
John Collick (R),Virginia District 03,17.21%,82.79%
George Yacus (R),Virginia District 03,0.00%,100.00%
Geoffrey Burke (R),Virginia District 03,0.00%,100.00%
Bobby Scott (D),Virginia District 03,16.88%,83.12%
Ryan McAdams (R),Virginia District 04,0.00%,0.00%
Rongerlis Cazel Levine (D),Virginia District 04,0.00%,100.00%
Leon Benjamin (R),Virginia District 04,11.11%,88.89%
James Spivey (R),Virginia District 04,59.05%,40.95%
Donald McEachin (D),Virginia District 04,6.55%,93.45%
Shadi Ayyas (D),Virginia District 05,0.00%,0.00%
Roger Dean Huffstetler (D),Virginia District 05,17.16%,82.84%
Kim Daugherty (D),Virginia District 05,40.31%,59.69%
John Lesinski (D),Virginia District 05,36.42%,63.58%
Denver Riggleman (R),Virginia District 05,28.12%,71.88%
Claire Russo (D),Virginia District 05,15.34%,84.66%
Cameron Webb (D),Virginia District 05,32.54%,67.46%
Bob Good (R),Virginia District 05,43.10%,56.90%
Nicholas Betts (D),Virginia District 06,46.74%,53.26%
Chaz Haywood (R),Virginia District 06,100.00%,0.00%
Ben Cline (R),Virginia District 06,65.36%,34.64%
Tina Ramirez (R),Virginia District 07,32.17%,67.83%
Peter Greenwald (R),Virginia District 07,56.10%,43.90%
Nick Freitas (R),Virginia District 07,27.25%,72.75%
John McGuire (R),Virginia District 07,23.84%,76.16%
Jason Roberge (R),Virginia District 07,0.00%,100.00%
Craig Ennis (R),Virginia District 07,0.00%,100.00%
Andrew Knaggs (R),Virginia District 07,30.82%,69.18%
Abigail Spanberger (D),Virginia District 07,24.51%,75.49%
Mike Webb (R),Virginia District 08,100.00%,0.00%
Mark Ellmore (R),Virginia District 08,47.23%,52.77%
Jeff Jordan (R),Virginia District 08,76.83%,23.17%
Don Beyer (D),Virginia District 08,55.96%,44.04%
Morgan Griffith (R),Virginia District 09,46.70%,53.30%
Cameron Dickerson (D),Virginia District 09,0.00%,100.00%
Rob Jones (R),Virginia District 10,37.10%,62.90%
Matt Truong (R),Virginia District 10,51.58%,48.42%
Jennifer Wexton (D),Virginia District 10,33.23%,66.77%
Jeff Dove (R),Virginia District 10,8.95%,91.05%
Elizabeth Stone (R),Virginia District 10,0.00%,100.00%
Barbara Comstock (R),Virginia District 10,0.00%,100.00%
Aliscia Andrews (R),Virginia District 10,40.13%,59.87%
Zainab Mohsini (D),Virginia District 11,20.48%,79.52%
Manga Anantatmula (R),Virginia District 11,13.91%,86.09%
Gerry Connolly (D),Virginia District 11,33.92%,66.08%
Suzan DelBene (D),Washington District 01,20.90%,79.10%
Jeffrey Beeler (R),Washington District 01,71.86%,28.14%
Derek Chartrand (R),Washington District 01,9.75%,90.25%
Tim Uy (R),Washington District 02,0.00%,0.00%
Tim Hazelo (R),Washington District 02,79.09%,20.91%
Rick Larsen (D),Washington District 02,39.46%,60.54%
Jason Call (D),Washington District 02,43.69%,56.31%
Rudy Atencio (D),Washington District 03,29.17%,70.83%
Peter Khalil (D),Washington District 03,27.58%,72.42%
Jaime Herrera Beutler (R),Washington District 03,44.58%,55.42%
Carolyn Long (D),Washington District 03,53.13%,46.87%
Sarena Sloot (R),Washington District 04,100.00%,0.00%
Doug McKinley (D),Washington District 04,89.04%,10.96%
Dan Newhouse (R),Washington District 04,58.19%,41.81%
Rob Chase (R),Washington District 05,100.00%,0.00%
Dave Wilson (D),Washington District 05,86.11%,13.89%
Chris Armitage (D),Washington District 05,36.70%,63.30%
Cathy McMorris Rodgers (R),Washington District 05,32.22%,67.78%
Rebecca Parson (D),Washington District 06,29.65%,70.35%
Matt Tirman (D),Washington District 06,33.16%,66.84%
Elizabeth Kreiselmaier (R),Washington District 06,74.05%,25.95%
Derek Kilmer (D),Washington District 06,45.40%,54.60%
Pramila Jayapal (D),Washington District 07,38.93%,61.07%
Kim Schrier (D),Washington District 08,12.54%,87.46%
Keith Swank (R),Washington District 08,32.92%,67.08%
Jesse Jensen (R),Washington District 08,35.11%,64.89%
Sarah Smith (D),Washington District 09,0.00%,100.00%
Doug Basler (R),Washington District 09,26.48%,73.52%
Adam Smith (D),Washington District 09,14.92%,85.08%
Rian Ingrim (R),Washington District 10,0.00%,0.00%
Phil Gardner (D),Washington District 10,27.74%,72.26%
Nancy Dailey Slotnick (I),Washington District 10,25.15%,74.85%
Mary Bacon (D),Washington District 10,100.00%,0.00%
Martin McClendon (R),Washington District 10,10.57%,89.43%
Marilyn Strickland (D),Washington District 10,12.07%,87.93%
Kristine Reeves (D),Washington District 10,8.68%,91.32%
Joshua Collins (D),Washington District 10,3.62%,96.38%
Jackson Maynard (R),Washington District 10,38.25%,61.75%
Eric LeMay (D),Washington District 10,44.09%,55.91%
Dean Johnson (R),Washington District 10,60.95%,39.05%
Beth Doglio (D),Washington District 10,33.26%,66.74%
Natalie Cline (D),West Virginia District 01,27.60%,72.40%
Kendra Fershee (D),West Virginia District 01,0.00%,0.00%
David McKinley (R),West Virginia District 01,66.11%,33.89%
Matt Hahn (R),West Virginia District 02,72.35%,27.65%
Catherine Kunkel (D),West Virginia District 02,37.80%,62.20%
Alex Mooney (R),West Virginia District 02,11.98%,88.02%
Paul Davis (D),West Virginia District 03,73.27%,26.73%
Lacy Watson (D),West Virginia District 03,17.98%,82.02%
Jeffrey Lewis (D),West Virginia District 03,0.00%,100.00%
Hilary Turner (D),West Virginia District 03,29.87%,70.13%
Carol Miller (R),West Virginia District 03,49.46%,50.54%
Belinda Fox-Spencer (I),West Virginia District 03,75.81%,24.19%
Roger Polack (D),Wisconsin District 01,23.63%,76.37%
Josh Pade (D),Wisconsin District 01,7.45%,92.55%
Bryan Steil (R),Wisconsin District 01,31.46%,68.54%
Angela Cunningham (D),Wisconsin District 01,62.28%,37.72%
Peter Theron (R),Wisconsin District 02,99.10%,0.90%
Mark Pocan (D),Wisconsin District 02,44.32%,55.68%
Jeffery Heller (R),Wisconsin District 02,69.81%,30.19%
Tim Peters (R),Wisconsin District 03,29.25%,70.75%
Ron Kind (D),Wisconsin District 03,29.63%,70.37%
Mark Neumann (D),Wisconsin District 03,89.47%,10.53%
Justin Bonner (D),Wisconsin District 03,28.05%,71.95%
John Garske (R),Wisconsin District 03,79.96%,20.04%
Jessi Ebben (R),Wisconsin District 03,65.98%,34.02%
Derrick Van Orden (R),Wisconsin District 03,21.08%,78.92%
Tim Rogers (R),Wisconsin District 04,44.12%,55.88%
Gwen Moore (D),Wisconsin District 04,28.64%,71.36%
Cindy Werner (R),Wisconsin District 04,36.81%,63.19%
Tom Palzewicz (D),Wisconsin District 05,59.56%,40.44%
Scott Fitzgerald (R),Wisconsin District 05,28.54%,71.46%
Jim Sensenbrenner (R),Wisconsin District 05,0.00%,100.00%
Clifford James DeTemple (R),Wisconsin District 05,2.60%,97.40%
Michael Beardsley (D),Wisconsin District 06,42.69%,57.31%
Matthew Boor (D),Wisconsin District 06,87.52%,12.48%
Jessica King (D),Wisconsin District 06,67.02%,32.98%
Glenn S Grothman (R),Wisconsin District 06,44.57%,55.43%
Dan Kohl (D),Wisconsin District 06,0.00%,0.00%
Amy Washburn (D),Wisconsin District 06,2.29%,97.71%
Tricia Zunker (D),Wisconsin District 07,48.67%,51.33%
Tom Tiffany (R),Wisconsin District 07,50.80%,49.20%
Sean P Duffy (R),Wisconsin District 07,17.62%,82.38%
Michael Opela (R),Wisconsin District 07,46.39%,53.61%
Jason Church (R),Wisconsin District 07,8.17%,91.83%
Mike Gallagher (R),Wisconsin District 08,29.29%,70.71%
Amanda Stuck (D),Wisconsin District 08,54.42%,45.58%
