,Seat,Candidate,Party,Raised,Spent,Winner,Incumbent
0,MD04,Anthony Brown ,dem,"$1,446,636","$846,827",Y,Y
0,MD05,Steny H Hoyer ,dem,"$4,587,189","$4,342,255",Y,Y
0,MD05,Chris Palombi ,gop,"$43,462","$42,095",N,N
0,MD06,David Trone ,dem,"$2,944,893","$2,959,748",Y,Y
0,MD06,Neil Parrott ,gop,"$315,936","$261,259",N,N
0,MD07,Kweisi Mfume ,dem,"$1,014,126","$713,389",Y,Y
0,MD07,Kimberly Klacik ,gop,"$8,296,845","$7,499,454",N,N
0,MD07,Amber Ivey ,gop,"$41,924","$43,394",N,N
0,MD08,Jamie Raskin ,dem,"$2,072,652","$1,399,252",Y,Y
0,MD08,Gregory Coll ,gop,"$30,876","$27,257",N,N
0,MA01,Richard E Neal ,dem,"$4,949,384","$5,873,122",Y,Y
0,MA02,James P McGovern ,dem,"$1,052,549","$1,089,412",Y,Y
0,MA02,Tracy Lovvorn ,gop,"$26,311","$22,319",N,N
0,MA03,Lori Trahan ,dem,"$1,449,303","$1,232,437",Y,Y
0,MA04,Jake Auchincloss ,dem,"$2,608,686","$2,150,904",Y,N
0,MA04,Julie Hall ,gop,"$131,603","$129,378",N,N
0,MA05,Katherine Clark ,dem,"$1,788,706","$1,514,877",Y,Y
0,MA05,Caroline Colarusso ,gop,"$148,635","$146,972",N,N
0,MA06,Seth Moulton ,dem,"$1,289,805","$1,802,169",Y,Y
0,MA06,John Paul Moran ,gop,"$300,220","$299,104",N,N
0,MA07,Ayanna Pressley ,dem,"$2,163,370","$1,748,432",Y,Y
0,MA08,Stephen Lynch ,dem,"$905,614","$1,134,662",Y,Y
0,MA09,Bill Keating ,dem,"$708,680","$652,448",Y,Y
0,MA09,Helen Brady ,gop,"$28,233","$23,735",N,N
0,MI01,John Bergman ,gop,"$1,868,512","$1,733,466",Y,Y
0,MI01,Dana Ferguson ,dem,"$346,213","$339,788",N,N
0,MI02,Bill Huizenga ,gop,"$2,175,411","$1,883,610",Y,Y
0,MI02,Bryan Berghoef ,dem,"$751,576","$669,864",N,N
0,MI02,Jean-Michel Creviere ,dem,$281,"$1,207",N,N
0,MI03,Hillary Scholten ,dem,"$3,793,132","$3,765,942",N,N
0,MI03,Peter Meijer ,gop,"$2,975,972","$2,887,774",Y,N
0,MI04,John Moolenaar ,gop,"$1,528,612","$1,036,160",Y,Y
0,MI04,Jerry Hilliard ,dem,"$23,117","$23,603",N,N
0,MI05,Dan Kildee ,dem,"$1,669,951","$1,504,094",Y,Y
0,MI05,Tim Kelly ,gop,"$71,106","$71,106",N,N
0,MI06,Fred Upton ,gop,"$3,616,380","$3,464,617",Y,Y
0,MI06,Jon Hoadley ,dem,"$3,116,491","$3,098,366",N,N
0,MI07,Tim Walberg ,gop,"$2,301,635","$1,586,358",Y,Y
0,MI07,Gretchen Driskell ,dem,"$1,712,840","$1,712,840",N,N
0,MI08,Elissa Slotkin ,dem,"$8,967,420","$7,419,974",Y,Y
0,MI08,Paul Junge ,gop,"$2,107,608","$2,097,131",N,N
0,MI09,Andy Levin ,dem,"$1,316,607","$907,237",Y,Y
0,MI10,Lisa McClain ,gop,"$2,266,287","$2,137,031",Y,N
0,MI10,Kimberly Bizon ,dem,"$41,438","$41,246",N,N
0,MI11,Haley Stevens ,dem,"$5,776,924","$5,707,448",Y,Y
0,MI11,Eric Esshaki ,gop,"$1,298,612","$1,291,509",N,N
0,MI12,Debbie Dingell ,dem,"$1,630,498","$1,689,582",Y,Y
0,MI12,Jeff Jones ,gop,"$10,616","$9,657",N,N
0,MI13,Rashida Tlaib ,dem,"$4,014,411","$3,690,334",Y,Y
0,MI13,Donald Eason ,dem,"$34,156","$34,156",N,N
0,MN01,Jim Hagedorn ,gop,"$2,386,033","$2,305,994",Y,Y
0,MN01,Daniel Feehan ,dem,"$4,861,651","$4,863,835",N,N
0,MN02,Angie Craig ,dem,"$5,380,101","$4,435,492",Y,Y
0,MN02,Tyler Kistner ,gop,"$2,990,054","$2,956,042",N,N
0,MN03,Dean Phillips ,dem,"$2,328,616","$2,152,031",Y,Y
0,MN03,Kendall Qualls ,gop,"$1,863,927","$1,751,214",N,N
0,MN03,Gary Heyer ,gop,$827,$827,N,N
0,MN04,Betty McCollum ,dem,"$1,171,748","$994,072",Y,Y
0,MN04,Gene Rechtzigel ,gop,"$20,075","$20,075",N,N
0,MN05,Ilhan Omar ,dem,"$5,718,517","$5,605,576",Y,Y
0,MN05,Lacy Johnson ,gop,"$12,050,564","$12,000,896",N,N
0,MN05,Chris Kelley ,gop,"$249,583","$249,583",N,N
0,MN05,Ervan Katari Miller ,gop,$255,$187,N,N
0,MN06,Tom Emmer ,gop,"$2,804,265","$2,537,612",Y,Y
0,MN06,Tawnja Zahradka ,dem,"$49,242","$49,214",N,N
0,MN07,Collin Peterson ,dem,"$2,714,012","$2,867,577",N,Y
0,MN07,Michelle Fischbach ,gop,"$2,618,450","$2,580,501",Y,N
0,MN08,Pete Stauber ,gop,"$2,593,190","$2,608,759",Y,Y
0,MN08,Quinn Nystrom ,dem,"$1,530,606","$1,527,005",N,N
0,MS01,Trent Kelly ,gop,"$876,882","$826,673",Y,Y
0,MS01,Antonia Eliason ,dem,"$22,281","$18,174",N,N
0,MS02,Bennie G Thompson ,dem,"$1,377,392","$1,096,904",Y,Y
0,MS03,Michael Guest ,gop,"$766,807","$518,162",Y,Y
0,MS04,Steven Palazzo ,gop,"$817,129","$747,217",Y,Y
0,MO01,Cori Bush ,dem,"$1,418,014","$1,333,512",Y,N
0,MO02,Ann Wagner ,gop,"$5,598,287","$6,513,101",Y,Y
0,MO02,Jill Schupp ,dem,"$4,850,948","$4,830,434",N,N
0,MO03,Blaine Luetkemeyer ,gop,"$2,022,905","$2,081,391",Y,Y
0,MO04,Vicky Hartzler ,gop,"$1,700,978","$1,335,607",Y,Y
0,MO04,Lindsey Simmons ,dem,"$395,934","$384,622",N,N
0,MO05,Emanuel Cleaver ,dem,"$1,393,847","$928,061",Y,Y
0,MO05,Ryan Derks ,gop,"$76,488","$76,488",N,N
0,MO06,Sam Graves ,gop,"$1,959,516","$1,654,756",Y,Y
0,MO06,Gena Ross ,dem,"$10,170","$10,530",N,N
0,MO07,Billy Long ,gop,"$1,320,420","$1,518,234",Y,Y
0,MO07,Audrey Richards ,gop,"$7,985","$8,113",N,N
0,MO08,Jason Smith ,gop,"$1,900,227","$1,514,786",Y,Y
0,MO08,Kathryn Ellis ,dem,"$302,428","$305,387",N,N
0,MT01,Kathleen Williams ,dem,"$6,201,758","$6,232,286",N,N
0,MT01,Matt Rosendale ,gop,"$3,674,706","$3,488,045",Y,N
0,MT02,Matt Rosendale ,gop,"$2,038,344","$1,113,356",Y,Y
0,MT02,Gary Buchanan ,gop,"$563,351","$342,764",N,N
0,MT02,Penny Ronning ,dem,"$158,425","$135,474",N,N
0,MT02,Sam Rankin ,dem,"$31,083","$31,066",N,N
0,NE01,Jeff Fortenberry ,gop,"$1,472,816","$2,458,330",Y,Y
0,NE01,Kate Bolz ,dem,"$1,143,509","$1,140,371",N,N
0,NE02,Don Bacon ,gop,"$3,749,272","$3,713,961",Y,Y
0,NE02,Kara Eastman ,dem,"$4,414,390","$4,468,006",N,N
0,NE03,Adrian Smith ,gop,"$1,506,473","$1,148,409",Y,Y
0,NE03,Mark Elworth Jr ,dem,$255,$0,N,N
0,NV01,Dina Titus ,dem,"$706,193","$587,919",Y,Y
0,NV02,Mark Amodei ,gop,"$1,048,056","$1,016,673",Y,Y
0,NV02,Patricia Ackerman ,dem,"$449,363","$449,449",N,N
0,NV03,Susie Lee ,dem,"$4,748,019","$4,732,009",Y,Y
0,NV03,Dan Rodimer ,gop,"$2,936,059","$2,915,216",N,N
0,NV04,Steven Horsford ,dem,"$3,492,372","$3,024,427",Y,Y
0,NV04,Jim Marchant ,gop,"$1,462,772","$1,419,405",N,N
0,NV04,Jonathan Royce Esteban ,gop,"$2,788","$1,603",N,N
0,NH01,Chris Pappas ,dem,"$3,205,731","$3,105,663",Y,Y
0,NH01,Matt Mowers ,gop,"$1,707,214","$1,698,761",N,N
0,NH02,Ann Kuster ,dem,"$2,960,033","$2,970,274",Y,Y
0,NH02,Steve Negron ,gop,"$368,177","$378,959",N,N
0,NJ01,Don Norcross ,dem,"$2,221,989","$1,087,264",Y,Y
0,NJ01,Claire Gustafson ,gop,"$36,520","$21,761",N,N
0,NJ02,Jeff Van Drew ,gop,"$4,229,171","$4,041,493",Y,Y
0,NJ02,Amy Kennedy ,dem,"$4,984,376","$4,978,913",N,N
0,NJ03,Andy Kim ,dem,"$7,241,283","$6,753,262",Y,Y
0,NJ03,David Richter ,gop,"$1,473,669","$1,470,648",N,N
0,NJ04,Chris Smith ,gop,"$1,383,085","$1,284,522",Y,Y
0,NJ04,Stephanie Schmid ,dem,"$699,580","$658,011",N,N
0,NJ05,Josh Gottheimer ,dem,"$7,694,027","$3,487,964",Y,Y
0,NJ05,Frank Pallotta ,gop,"$1,972,033","$1,948,705",N,N
0,NJ05,Louis A. Vellucci ,gop,"$5,456","$5,342",N,N
0,NJ06,Frank Pallone Jr. ,dem,"$3,231,755","$2,021,737",Y,Y
0,NJ07,Tom Malinowski ,dem,"$7,414,403","$7,423,758",Y,Y
0,NJ07,Tom Kean ,gop,"$3,869,121","$3,775,442",N,N
0,NJ08,Albio Sires ,dem,"$605,810","$551,325",Y,Y
0,NJ09,Bill Pascrell Jr. ,dem,"$1,560,550","$1,795,410",Y,Y
0,NJ09,Billy Prempeh ,gop,"$44,269","$35,075",N,N
0,NJ10,Donald M Payne Jr. ,dem,"$593,735","$457,252",Y,Y
0,NJ11,Mikie Sherrill ,dem,"$6,419,707","$3,733,106",Y,Y
0,NJ11,Rosemary Becchi ,gop,"$1,687,532","$1,686,236",N,N
0,NJ12,Bonnie Watson Coleman ,dem,"$798,439","$840,651",Y,Y
0,NJ12,Mark Razzoli ,gop,"$3,065","$1,142",N,N
0,NM01,Debra Haaland ,dem,"$2,246,734","$1,875,766",Y,Y
0,NM01,Michelle Garcia Holmes ,gop,"$257,294","$245,590",N,N
0,NM02,Xochitl Torres Small ,dem,"$8,387,337","$8,539,065",N,Y
0,NM02,Yvette Herrell ,gop,"$2,805,711","$2,921,785",Y,N
0,NM02,Steve Jones ,gop,"$9,405","$9,505",N,N
0,NM03,Teresa Leger Fernandez ,dem,"$2,296,594","$2,132,010",Y,N
0,NM03,Alexis Johnson ,gop,"$147,303","$147,303",N,N
0,NY01,Lee Zeldin ,gop,"$8,396,981","$8,250,116",Y,Y
0,NY01,Nancy Goroff ,dem,"$7,866,239","$7,860,977",N,N
0,NY02,Jackie Gordon ,dem,"$4,351,881","$4,334,484",N,N
0,NY02,Andrew Garbarino ,gop,"$1,743,986","$1,612,132",Y,N
0,NY02,Harry Burger ,gop,"$2,430",$594,N,N
0,NY03,Tom Suozzi ,dem,"$2,941,006","$2,331,302",Y,Y
0,NY03,George Devolder-Santos ,gop,"$658,883","$591,239",N,N
0,NY03,Joshua Sauberman ,gop,$127,$270,N,N
0,NY04,Kathleen Rice ,dem,"$1,106,258","$1,210,410",Y,Y
0,NY04,Douglas Tuman ,gop,"$134,937","$130,995",N,N
0,NY04,Ed Dennehy ,gop,"$9,031","$9,031",N,N
0,NY05,Gregory Meeks ,dem,"$2,097,572","$1,467,454",Y,Y
0,NY05,Amit Lal ,dem,$126,$0,N,N
0,NY06,Grace Meng ,dem,"$1,292,084","$1,872,311",Y,Y
0,NY06,Thomas Zmich ,gop,"$133,403","$131,278",N,N
0,NY07,Nydia Velazquez ,dem,"$803,217","$676,248",Y,Y
0,NY08,Hakeem Jeffries ,dem,"$4,168,717","$3,293,077",Y,Y
0,NY09,Yvette Clarke ,dem,"$1,200,067","$1,190,143",Y,Y
0,NY10,Jerrold Nadler ,dem,"$1,848,688","$1,950,774",Y,Y
0,NY10,Cathy Bernstein ,gop,"$49,975","$28,384",N,N
0,NY10,Jeanne Nigro ,gop,"$34,548","$28,039",N,N
0,NY10,Michael Madrid ,gop,"$14,326","$12,149",N,N
0,NY11,Max Rose ,dem,"$9,284,434","$9,499,242",N,Y
0,NY11,Nicole Malliotakis ,gop,"$3,469,995","$3,447,052",Y,N
0,NY11,Kemi Akindude ,gop,"$21,261","$14,697",N,N
0,NY12,Carolyn Maloney ,dem,"$3,067,173","$3,059,202",Y,Y
0,NY13,Adriano Espaillat ,dem,"$1,087,237","$1,252,740",Y,Y
0,NY13,Lovelynn Gwinn ,gop,"$39,384","$39,384",N,N
0,NY14,Alexandria Ocasio-Cortez ,dem,"$20,664,795","$16,735,422",Y,Y
0,NY14,John C. Cummings ,gop,"$11,140,937","$10,947,758",N,N
0,NY15,Ritchie Torres ,dem,"$2,194,025","$1,804,336",Y,N
0,NY16,Jamaal Bowman ,dem,"$2,878,898","$2,801,424",Y,N
0,NY17,Mondaire Jones ,dem,"$2,984,052","$2,186,463",Y,N
0,NY17,Maureen McArdle Schulman ,gop,"$54,732","$60,084",N,N
0,NY17,Michael Parietti ,gop,"$44,787","$19,670",N,N
0,NY18,Sean Patrick Maloney ,dem,"$2,556,294","$1,718,525",Y,Y
0,NY18,Chele Farley ,gop,"$1,186,211","$1,152,124",N,N
0,NY18,Scott Smith ,gop,"$8,718","$8,403",N,N
0,NY19,Antonio Delgado ,dem,"$5,949,475","$2,963,286",Y,Y
0,NY19,Kyle Van De Water ,gop,"$153,796","$120,097",N,N
0,NY20,Paul Tonko ,dem,"$1,541,984","$1,418,994",Y,Y
0,NY20,Elizabeth Joy ,gop,"$370,852","$336,845",N,N
0,NY21,Elise Stefanik ,gop,"$13,287,248","$11,655,936",Y,Y
0,NY21,Tedra Cobb ,dem,"$5,586,793","$5,593,266",N,N
0,NY22,Anthony Brindisi ,dem,"$6,020,190","$5,772,429",N,Y
0,NY22,Claudia Tenney ,gop,"$3,051,777","$2,725,893",N,N
0,NY23,Tom Reed ,gop,"$3,275,177","$3,145,027",Y,Y
0,NY23,Tracy Mitrano ,dem,"$1,450,322","$1,466,128",N,N
0,NY24,John Katko ,gop,"$3,821,107","$3,597,234",Y,Y
0,NY24,Dana Balter ,dem,"$3,212,469","$3,230,808",N,N
0,NY25,Joseph D Morelle ,dem,"$1,375,366","$1,274,426",Y,Y
0,NY25,George Mitris ,gop,"$301,376","$279,047",N,N
0,NY25,Kevin Wilson ,gop,"$5,128","$3,417",N,N
0,NY26,Brian Higgins ,dem,"$1,124,168","$984,106",Y,Y
0,NC01,G K Butterfield ,dem,"$1,032,869","$880,420",Y,Y
0,NC01,Sandy Smith ,gop,"$1,458,375","$1,437,805",N,N
0,NC02,Deborah Ross ,dem,"$2,268,381","$1,816,923",Y,N
0,NC02,Alan Swain ,gop,"$119,664","$119,435",N,N
0,NC02,Japheth Matemu ,gop,$625,$54,N,N
0,NC03,Greg Murphy ,gop,"$1,767,790","$1,505,559",Y,Y
0,NC04,David Price ,dem,"$1,161,738","$1,014,872",Y,Y
0,NC05,Virginia Foxx ,gop,"$1,858,388","$1,944,629",Y,Y
0,NC05,David Wilson Brown ,dem,"$61,596","$60,668",N,N
0,NC06,Kathy Manning ,dem,"$2,002,284","$1,695,596",Y,N
0,NC06,Lee Haywood ,gop,"$73,878","$58,342",N,N
0,NC06,Jennyfer Bucardo ,gop,$750,$759,N,N
0,NC07,David Rouzer ,gop,"$1,628,458","$1,038,883",Y,Y
0,NC07,Christopher Ward ,dem,"$16,260","$4,119",N,N
0,NC08,Richard Hudson ,gop,"$4,135,872","$4,359,009",Y,Y
0,NC08,Patricia Timmons-Goodson ,dem,"$3,855,743","$3,852,668",N,N
0,NC09,Dan Bishop ,gop,"$4,090,260","$4,029,864",Y,Y
0,NC09,Cynthia Wallace ,dem,"$811,609","$794,300",N,N
0,NC10,Patrick McHenry ,gop,"$2,780,234","$2,339,363",Y,Y
0,NC10,David Parker ,dem,"$30,555","$30,555",N,N
0,NC11,Madison Cawthorn ,gop,"$4,478,970","$4,366,783",Y,N
0,NC11,Moe Davis ,dem,"$2,251,413","$2,148,121",N,N
0,NC12,Alma Adams ,dem,"$824,124","$651,883",Y,Y
0,NC12,Bill Brewster ,gop,"$21,950","$16,763",N,N
0,NC13,Ted Budd ,gop,"$2,294,174","$1,293,414",Y,Y
0,NC13,Scott Huffman ,dem,"$193,334","$189,967",N,N
0,NC14,Jeff Jackson ,dem,"$5,273,569","$4,396,999",N,N
0,NC14,Pat Harrigan ,gop,"$732,509","$526,695",N,N
0,ND01,Kelly Armstrong ,gop,"$1,269,346","$1,080,105",Y,Y
0,ND01,Zach Raknerud ,dem,"$28,047","$26,029",N,N
0,OH01,Steve Chabot ,gop,"$3,177,647","$2,861,464",Y,Y
0,OH01,Kate Schroder ,dem,"$4,040,303","$4,039,798",N,N
0,OH01,Kevin Kahn ,dem,"$12,085","$8,398",N,N
0,OH02,Brad Wenstrup ,gop,"$1,794,354","$1,757,078",Y,Y
0,OH02,Jaime Castle ,dem,"$284,197","$271,471",N,N
0,OH03,Joyce Beatty ,dem,"$2,237,887","$2,540,687",Y,Y
0,OH03,Nicholas Moss ,dem,"$1,258","$1,248",N,N
0,OH04,Jim Jordan ,gop,"$18,313,823","$12,945,651",Y,Y
0,OH04,Chris Gibbs ,gop,"$65,807","$65,807",N,N
0,OH05,Bob Latta ,gop,"$1,580,952","$1,477,090",Y,Y
0,OH05,Nick Rubando ,dem,"$249,319","$247,423",N,N
0,OH06,Bill Johnson ,gop,"$1,866,123","$1,853,361",Y,Y
0,OH06,Shawna Roberts ,dem,$262,$574,N,N
0,OH07,Bob Gibbs ,gop,"$791,888","$453,928",Y,Y
0,OH07,Quentin Potter ,dem,"$12,976","$12,976",N,N
0,OH07,Brandon Lape ,dem,"$3,348","$2,713",N,N
0,OH08,Warren Davidson ,gop,"$1,016,740","$841,533",Y,Y
0,OH08,Vanessa Enoch ,dem,"$40,270","$37,546",N,N
0,OH09,Marcy Kaptur ,dem,"$1,090,395","$979,798",Y,Y
0,OH09,Rob Weber ,gop,"$134,898","$123,262",N,N
0,OH10,Michael R Turner ,gop,"$1,752,255","$1,736,283",Y,Y
0,OH10,Desiree Tims ,dem,"$2,040,760","$2,024,010",N,N
0,OH11,Marcia Fudge ,dem,"$755,787","$499,820",Y,Y
0,OH11,Laverne Gore ,gop,"$157,044","$156,827",N,N
0,OH12,Troy Balderson ,gop,"$2,016,826","$1,995,665",Y,Y
0,OH12,Alaina Shearer ,dem,"$1,033,711","$1,025,410",N,N
0,OH12,John Stewart ,dem,"$75,170","$66,382",N,N
0,OH13,Tim Ryan ,dem,"$1,972,446","$2,071,454",Y,Y
0,OH13,Christina Hagan ,gop,"$861,723","$820,660",N,N
0,OH14,David P Joyce ,gop,"$2,917,696","$2,501,449",Y,Y
0,OH14,Hillary O'Connor Mueri ,dem,"$579,877","$574,646",N,N
0,OH15,Steve Stivers ,gop,"$3,004,799","$2,293,101",Y,Y
0,OH15,Joel Newby ,dem,"$55,797","$55,797",N,N
0,OK01,Kevin Hern ,gop,"$1,094,104","$830,366",Y,Y
0,OK01,Kojo Asamoa-Caesar ,dem,"$157,355","$173,928",N,N
0,OK02,Markwayne Mullin ,gop,"$1,660,206","$1,077,939",Y,Y
0,OK02,Danyell Lanier ,dem,"$41,730","$41,722",N,N
0,OK03,Frank D Lucas ,gop,"$872,749","$1,036,145",Y,Y
0,OK04,Tom Cole ,gop,"$1,812,530","$1,753,697",Y,Y
0,OK04,Mary Brannon ,dem,"-$2,084","$1,599",N,N
0,OK05,Kendra Horn ,dem,"$5,949,800","$5,946,195",N,Y
0,OK05,Stephanie Bice ,gop,"$3,720,520","$3,508,929",Y,N
0,OR01,Suzanne Bonamici ,dem,"$959,223","$864,627",Y,Y
0,OR01,Chris Christensen ,gop,$144,$672,N,N
0,OR02,Cliff Bentz ,gop,"$1,450,780","$1,361,727",Y,N
0,OR02,Alex Spenser ,dem,"$20,640","$5,089",N,N
0,OR03,Earl Blumenauer ,dem,"$1,813,365","$1,948,453",Y,Y
0,OR03,Joanna Harbour ,gop,"$17,681","$14,502",N,N
0,OR04,Peter DeFazio ,dem,"$5,182,843","$5,781,074",Y,Y
0,OR04,Alek Skarlatos ,gop,"$5,454,621","$5,331,264",N,N
0,OR05,Kurt Schrader ,dem,"$2,018,692","$1,922,073",Y,Y
0,OR05,Amy Ryan Courser ,gop,"$231,624","$221,041",N,N
0,OR06,Mike Erickson ,gop,"$3,467,533","$3,437,816",N,N
0,OR06,Andrea Salinas ,dem,"$2,837,929","$2,596,817",N,N
0,PA01,Brian Fitzpatrick ,gop,"$4,203,825","$4,272,135",Y,Y
0,PA01,Christina Finello ,dem,"$2,336,814","$2,329,748",N,N
0,PA02,Brendan Boyle ,dem,"$1,556,650","$756,317",Y,Y
0,PA03,Dwight Evans ,dem,"$942,386","$781,265",Y,Y
0,PA04,Madeleine Dean ,dem,"$1,435,995","$1,005,928",Y,Y
0,PA04,Kathy Barnette ,gop,"$1,000,389","$884,640",N,N
0,PA04,Joe Tarshish ,gop,"$24,038","$23,738",N,N
0,PA05,Mary Gay Scanlon ,dem,"$1,455,042","$1,350,276",Y,Y
0,PA05,Dasha Pruett ,gop,"$105,146","$82,437",N,N
0,PA06,Chrissy Houlahan ,dem,"$3,484,484","$1,327,283",Y,Y
0,PA06,John Emmons ,gop,"$608,859","$601,390",N,N
0,PA06,John McHugh ,gop,"$6,165","$4,410",N,N
0,PA07,Susan Wild ,dem,"$4,581,056","$4,528,267",Y,Y
0,PA08,Matt Cartwright ,dem,"$3,885,136","$4,144,070",Y,Y
0,PA08,Jim Bognet ,gop,"$1,519,527","$1,386,040",N,N
0,PA09,Dan Meuser ,gop,"$1,071,961","$944,010",Y,Y
0,PA09,Gary Wegman ,dem,"$188,787","$187,348",N,N
0,PA10,Scott Perry ,gop,"$3,956,481","$3,839,197",N,Y
0,PA10,Eugene DePasquale ,dem,"$4,534,580","$4,526,684",N,N
0,PA11,Lloyd Smucker ,gop,"$1,349,318","$662,704",Y,Y
0,PA11,Sarah Hammond ,dem,"$28,733","$23,458",N,N
0,PA12,Fred Keller ,gop,"$1,541,938","$1,066,158",Y,Y
0,PA12,Lee Griffin ,dem,"$45,850","$44,571",N,N
0,PA12,Liz Terwilliger ,dem,"$6,211","$5,937",N,N
0,PA13,John Joyce ,gop,"$1,119,769","$461,229",Y,Y
0,PA13,Todd Rowley ,dem,"$60,348","$67,527",N,N
0,PA14,Guy Reschenthaler ,gop,"$2,250,282","$1,580,488",Y,Y
0,PA14,Bill Marx ,dem,"$60,403","$45,959",N,N
0,PA15,Glenn Thompson ,gop,"$1,700,061","$1,839,073",Y,Y
0,PA16,Mike Kelly ,gop,"$2,239,488","$1,319,340",Y,Y
0,PA16,Kristy Gnibus ,dem,"$584,205","$579,453",N,N
0,PA17,Conor Lamb ,dem,"$4,063,114","$3,448,850",Y,Y
0,PA17,Sean Parnell ,gop,"$3,935,774","$3,732,399",N,N
0,RI01,David Cicilline ,dem,"$1,574,854","$1,743,173",Y,Y
0,RI02,Jim Langevin ,dem,"$1,102,312","$1,422,339",Y,Y
0,RI02,Bob Lancia ,gop,"$55,549","$47,877",N,N
0,SC01,Joe Cunningham ,dem,"$6,941,746","$6,993,962",N,Y
0,SC01,Nancy Mace ,gop,"$5,766,726","$5,707,239",Y,N
0,SC02,Joe Wilson ,gop,"$1,648,065","$1,723,956",Y,Y
0,SC02,Adair Boroughs ,dem,"$2,510,526","$2,507,664",N,N
0,SC03,Jeff Duncan ,gop,"$1,509,647","$1,271,872",Y,Y
0,SC03,Hosea Cleveland ,dem,"$43,214","$45,107",N,N
0,SC04,William Timmons ,gop,"$977,784","$982,233",Y,Y
0,SC04,Kim Nelson ,dem,"$167,825","$167,508",N,N
0,SC05,Ralph Norman ,gop,"$991,246","$859,747",Y,Y
0,SC05,Moe Brown ,dem,"$480,648","$477,295",N,N
0,SC06,James E Clyburn ,dem,"$3,406,945","$2,332,128",Y,Y
0,SC07,Tom Rice ,gop,"$1,405,738","$1,242,208",Y,Y
0,SC07,Melissa Watson ,dem,"$147,623","$147,623",N,N
0,SC07,Larry Guy Hammond ,dem,$199,$199,N,N
0,SD01,Dusty Johnson ,gop,"$1,693,504","$699,356",Y,Y
0,TN01,Diana Harshbarger ,gop,"$2,126,946","$1,869,100",Y,N
0,TN01,Blair Nicole Walsingham ,dem,"$140,209","$134,995",N,N
0,TN02,Tim Burchett ,gop,"$1,336,276","$878,488",Y,Y
0,TN02,Renee Hoyos ,dem,"$812,784","$816,793",N,N
0,TN03,Chuck Fleischmann ,gop,"$1,051,653","$381,411",Y,Y
0,TN03,Meg Gorman ,dem,"$85,843","$77,760",N,N
0,TN04,Scott Desjarlais ,gop,"$331,464","$392,499",Y,Y
0,TN04,Christopher Hale ,dem,"$308,731","$302,996",N,N
0,TN05,Jim Cooper ,dem,"$936,569","$1,332,131",Y,Y
0,TN06,John Rose ,gop,"$1,050,429","$625,688",Y,Y
0,TN07,Mark Green ,gop,"$1,194,960","$935,487",Y,Y
0,TN07,Kiran Sreepada ,dem,"$206,644","$207,191",N,N
0,TN07,Ronald Brown ,dem,"$1,750",$0,N,N
0,TN07,Scott Vieira Jr ,dem,$655,"$1,049",N,N
0,TN08,David Kustoff ,gop,"$1,641,217","$999,285",Y,Y
0,TN08,Erika Stotts Pearson ,dem,"$19,070","$15,883",N,N
0,TN09,Steve Cohen ,dem,"$607,570","$457,311",Y,Y
0,TN09,Charlotte Bergmann ,gop,"$99,147","$100,532",N,N
0,TN09,Dennis Clark ,gop,"$9,991","$9,919",N,N
0,TX01,Louie Gohmert ,gop,"$552,915","$580,441",Y,Y
0,TX01,Hank Gilbert ,dem,"$968,155","$734,411",N,N
0,TX02,Dan Crenshaw ,gop,"$19,427,865","$17,596,329",Y,Y
0,TX02,Sima Ladjevardian ,dem,"$3,832,697","$3,825,287",N,N
0,TX02,Elliott Scheirman ,dem,"$15,374","$14,296",N,N
0,TX03,Van Taylor ,gop,"$2,655,327","$2,825,378",Y,Y
0,TX03,Helane Seikaly ,dem,"$1,635,185","$1,634,843",N,N
0,TX04,Patrick Fallon ,gop,"$257,174","$95,065",Y,N
0,TX04,Tracy Shawn Jones ,gop,"$13,002","$10,595",N,N
0,TX05,Lance Gooden ,gop,"$1,610,327","$1,311,983",Y,Y
0,TX05,Carolyn Salter ,dem,"$317,848","$289,112",N,N
0,TX05,Kevin Hale ,dem,"$18,405","$6,508",N,N
0,TX06,Ron Wright ,gop,"$912,134","$907,693",Y,Y
0,TX06,Stephen Daniel ,dem,"$680,402","$677,568",N,N
0,TX07,Lizzie Fletcher ,dem,"$6,265,165","$6,246,136",Y,Y
0,TX07,Wesley Hunt ,gop,"$7,524,064","$7,300,122",N,N
0,TX08,Kevin Brady ,gop,"$3,570,477","$3,190,447",Y,Y
0,TX08,Elizabeth Hernandez ,dem,"$17,227","$14,981",N,N
0,TX09,Al Green ,dem,"$460,332","$486,155",Y,Y
0,TX09,Johnny Teague ,gop,"$89,965","$88,366",N,N
0,TX10,Michael McCaul ,gop,"$3,856,477","$3,910,930",Y,Y
0,TX10,Mike Siegel ,dem,"$2,873,926","$2,829,765",N,N
0,TX11,August Pfluger ,gop,"$2,578,540","$1,984,134",Y,N
0,TX11,Jon Mark Hogg ,dem,"$137,730","$135,141",N,N
0,TX12,Kay Granger ,gop,"$3,161,288","$3,271,815",Y,Y
0,TX12,Lisa Welch ,dem,"$98,465","$98,475",N,N
0,TX12,Trey Holcomb ,dem,$967,$457,N,N
0,TX13,Ronny Jackson ,gop,"$2,128,271","$1,741,132",Y,N
0,TX13,Gus Trujillo ,dem,"$22,826","$18,820",N,N
0,TX14,Randy Weber ,gop,"$936,202","$924,659",Y,Y
